id;Gemeente;Groep_rij;Geslacht;Bij geboorte;Bij geboorte (afwijking tov NL);Bij 65 jaar;Bij 65 jaar (afwijking tov NL)
0437;Ouder-Amstel;Levensverwachting;Totaal;84,4;boven, 99% zeker;21,9;boven, 99% zeker
0589;Oudewater;Levensverwachting;Totaal;81,9;geen;20,3;geen
1734;Overbetuwe;Levensverwachting;Totaal;83,0;boven, 99% zeker;20,6;boven, 99% zeker
0590;Papendrecht;Levensverwachting;Totaal;83,7;boven, 99% zeker;21,4;boven, 99% zeker
1894;Peel en Maas;Levensverwachting;Totaal;82,7;boven, 99% zeker;20,5;boven, 99% zeker
0765;Pekela;Levensverwachting;Totaal;80,3;onder, 95% zeker;19,7;geen
1926;Pijnacker-Nootdorp;Levensverwachting;Totaal;84,1;boven, 99% zeker;21,7;boven, 99% zeker
0439;Purmerend;Levensverwachting;Totaal;81,8;geen;19,9;geen
0273;Putten;Levensverwachting;Totaal;82,2;geen;20,7;boven, 99% zeker
0177;Raalte;Levensverwachting;Totaal;82,7;boven, 99% zeker;20,3;geen
0703;Reimerswaal;Levensverwachting;Totaal;82,5;geen;21,1;boven, 99% zeker
0274;Renkum;Levensverwachting;Totaal;82,5;geen;20,9;boven, 99% zeker
0339;Renswoude;Levensverwachting;Totaal;82,7;geen;21,0;geen
1667;Reusel-De Mierden;Levensverwachting;Totaal;83,7;boven, 99% zeker;21,3;boven, 99% zeker
0275;Rheden;Levensverwachting;Totaal;81,1;onder, 95% zeker;19,8;geen
0340;Rhenen;Levensverwachting;Totaal;83,3;boven, 99% zeker;21,6;boven, 99% zeker
0597;Ridderkerk;Levensverwachting;Totaal;83,1;boven, 99% zeker;20,8;boven, 99% zeker
1742;Rijssen-Holten;Levensverwachting;Totaal;82,8;boven, 99% zeker;21,0;boven, 99% zeker
0603;Rijswijk;Levensverwachting;Totaal;82,0;geen;20,3;geen
1669;Roerdalen;Levensverwachting;Totaal;82,6;geen;20,3;geen
0957;Roermond;Levensverwachting;Totaal;81,3;onder, 95% zeker;19,7;geen
1674;Roosendaal;Levensverwachting;Totaal;81,4;geen;19,5;onder, 99% zeker
0599;Rotterdam;Levensverwachting;Totaal;80,3;onder, 99% zeker;18,9;onder, 99% zeker
0277;Rozendaal;Levensverwachting;Totaal;83,6;geen;23,7;boven, 99% zeker
0840;Rucphen;Levensverwachting;Totaal;79,7;onder, 99% zeker;17,8;onder, 99% zeker
0441;Schagen;Levensverwachting;Totaal;82,4;boven, 95% zeker;20,4;boven, 95% zeker
0279;Scherpenzeel;Levensverwachting;Totaal;83,1;boven, 95% zeker;21,0;boven, 95% zeker
0606;Schiedam;Levensverwachting;Totaal;80,1;onder, 99% zeker;18,8;onder, 99% zeker
0088;Schiermonnikoog;Levensverwachting;Totaal;84,1;geen;21,6;geen
1676;Schouwen-Duiveland;Levensverwachting;Totaal;82,3;geen;21,3;boven, 99% zeker
0965;Simpelveld;Levensverwachting;Totaal;83,6;boven, 99% zeker;21,9;boven, 99% zeker
1702;Sint Anthonis;Levensverwachting;Totaal;83,4;boven, 99% zeker;21,2;boven, 99% zeker
0845;Sint-Michielsgestel;Levensverwachting;Totaal;82,1;geen;19,9;geen
1883;Sittard-Geleen;Levensverwachting;Totaal;80,9;onder, 99% zeker;19,5;onder, 99% zeker
0610;Sliedrecht;Levensverwachting;Totaal;80,3;onder, 99% zeker;19,0;onder, 99% zeker
1714;Sluis;Levensverwachting;Totaal;82,2;geen;20,7;boven, 99% zeker
0090;Smallingerland;Levensverwachting;Totaal;81,9;geen;20,6;boven, 99% zeker
0342;Soest;Levensverwachting;Totaal;82,6;boven, 99% zeker;20,8;boven, 99% zeker
0847;Someren;Levensverwachting;Totaal;82,4;geen;20,6;boven, 95% zeker
0848;Son en Breugel;Levensverwachting;Totaal;83,8;boven, 99% zeker;21,6;boven, 99% zeker
0037;Stadskanaal;Levensverwachting;Totaal;80,4;onder, 99% zeker;19,1;onder, 99% zeker
0180;Staphorst;Levensverwachting;Totaal;81,6;geen;19,5;geen
0532;Stede Broec;Levensverwachting;Totaal;81,4;geen;19,5;onder, 95% zeker
0851;Steenbergen;Levensverwachting;Totaal;81,5;geen;19,3;onder, 99% zeker
1708;Steenwijkerland;Levensverwachting;Totaal;81,8;geen;20,0;geen
0971;Stein;Levensverwachting;Totaal;82,4;geen;20,6;boven, 99% zeker
1904;Stichtse Vecht;Levensverwachting;Totaal;82,3;boven, 95% zeker;20,4;boven, 99% zeker
1900;Súdwest-Fryslân;Levensverwachting;Totaal;81,7;geen;20,3;boven, 99% zeker
0715;Terneuzen;Levensverwachting;Totaal;81,6;geen;19,9;geen
0093;Terschelling;Levensverwachting;Totaal;83,1;geen;20,5;geen
0448;Texel;Levensverwachting;Totaal;80,9;geen;19,7;geen
1525;Teylingen;Levensverwachting;Totaal;83,5;boven, 99% zeker;20,7;boven, 99% zeker
0716;Tholen;Levensverwachting;Totaal;82,5;geen;20,6;boven, 95% zeker
0281;Tiel;Levensverwachting;Totaal;81,2;onder, 95% zeker;19,2;onder, 99% zeker
0855;Tilburg;Levensverwachting;Totaal;80,4;onder, 99% zeker;19,0;onder, 99% zeker
0183;Tubbergen;Levensverwachting;Totaal;82,4;geen;20,3;geen
1700;Twenterand;Levensverwachting;Totaal;80,5;onder, 99% zeker;19,0;onder, 99% zeker
1730;Tynaarlo;Levensverwachting;Totaal;81,8;geen;20,2;geen
0737;Tytsjerksteradiel;Levensverwachting;Totaal;81,9;geen;19,8;geen
0856;Uden;Levensverwachting;Totaal;82,2;geen;20,4;boven, 95% zeker
0450;Uitgeest;Levensverwachting;Totaal;83,7;boven, 99% zeker;21,8;boven, 99% zeker
0451;Uithoorn;Levensverwachting;Totaal;83,9;boven, 99% zeker;21,6;boven, 99% zeker
0184;Urk;Levensverwachting;Totaal;81,2;geen;19,1;onder, 95% zeker
0344;Utrecht;Levensverwachting;Totaal;81,4;onder, 99% zeker;19,5;onder, 99% zeker
1581;Utrechtse Heuvelrug;Levensverwachting;Totaal;82,5;boven, 99% zeker;20,6;boven, 99% zeker
0981;Vaals;Levensverwachting;Totaal;81,8;geen;20,2;geen
0994;Valkenburg aan de Geul;Levensverwachting;Totaal;81,3;geen;19,9;geen
0858;Valkenswaard;Levensverwachting;Totaal;82,1;geen;20,5;boven, 95% zeker
0047;Veendam;Levensverwachting;Totaal;80,1;onder, 99% zeker;19,0;onder, 99% zeker
0345;Veenendaal;Levensverwachting;Totaal;82,2;geen;20,5;boven, 99% zeker
0717;Veere;Levensverwachting;Totaal;82,9;boven, 99% zeker;20,9;boven, 99% zeker
0861;Veldhoven;Levensverwachting;Totaal;83,2;boven, 99% zeker;21,3;boven, 99% zeker
0453;Velsen;Levensverwachting;Totaal;82,0;geen;19,9;geen
0983;Venlo;Levensverwachting;Totaal;81,8;geen;20,4;boven, 99% zeker
0984;Venray;Levensverwachting;Totaal;82,6;boven, 95% zeker;21,3;boven, 99% zeker
1961;Vijfheerenlanden;Levensverwachting;Totaal;81,4;geen;19,4;onder, 99% zeker
0622;Vlaardingen;Levensverwachting;Totaal;80,9;onder, 99% zeker;19,9;geen
0096;Vlieland;Levensverwachting;Totaal;79,6;onder, 95% zeker;17,1;onder, 99% zeker
0718;Vlissingen;Levensverwachting;Totaal;80,6;onder, 99% zeker;19,7;geen
0986;Voerendaal;Levensverwachting;Totaal;84,0;boven, 99% zeker;21,6;boven, 99% zeker
0626;Voorschoten;Levensverwachting;Totaal;84,6;boven, 99% zeker;21,8;boven, 99% zeker
0285;Voorst;Levensverwachting;Totaal;82,4;geen;20,6;boven, 99% zeker
0865;Vught;Levensverwachting;Totaal;80,6;onder, 99% zeker;19,2;onder, 99% zeker
1949;Waadhoeke;Levensverwachting;Totaal;81,6;geen;19,9;geen
0866;Waalre;Levensverwachting;Totaal;84,2;boven, 99% zeker;22,3;boven, 99% zeker
0867;Waalwijk;Levensverwachting;Totaal;81,4;geen;19,9;geen
0627;Waddinxveen;Levensverwachting;Totaal;85,1;boven, 99% zeker;23,7;boven, 99% zeker
0289;Wageningen;Levensverwachting;Totaal;80,4;onder, 99% zeker;18,5;onder, 99% zeker
0629;Wassenaar;Levensverwachting;Totaal;83,3;boven, 99% zeker;20,8;boven, 99% zeker
0852;Waterland;Levensverwachting;Totaal;84,5;boven, 99% zeker;21,4;boven, 99% zeker
0988;Weert;Levensverwachting;Totaal;82,7;boven, 99% zeker;20,7;boven, 99% zeker
0457;Weesp;Levensverwachting;Totaal;81,6;geen;19,7;geen
1960;West Betuwe;Levensverwachting;Totaal;82,6;boven, 99% zeker;20,5;boven, 99% zeker
0668;West Maas en Waal;Levensverwachting;Totaal;82,2;geen;19,6;geen
1969;Westerkwartier;Levensverwachting;Totaal;82,1;geen;20,1;geen
1701;Westerveld;Levensverwachting;Totaal;82,0;geen;20,9;boven, 99% zeker
0293;Westervoort;Levensverwachting;Totaal;81,9;geen;19,8;geen
1950;Westerwolde;Levensverwachting;Totaal;80,7;onder, 95% zeker;19,6;geen
1783;Westland;Levensverwachting;Totaal;83,7;boven, 99% zeker;21,4;boven, 99% zeker
0098;Weststellingwerf;Levensverwachting;Totaal;82,0;geen;19,5;onder, 95% zeker
0614;Westvoorne;Levensverwachting;Totaal;83,1;boven, 95% zeker;21,1;boven, 99% zeker
0189;Wierden;Levensverwachting;Totaal;82,9;boven, 99% zeker;20,5;boven, 95% zeker
0296;Wijchen;Levensverwachting;Totaal;82,1;geen;20,2;geen
1696;Wijdemeren;Levensverwachting;Totaal;82,2;geen;19,9;geen
0352;Wijk bij Duurstede;Levensverwachting;Totaal;82,3;geen;20,5;geen
0294;Winterswijk;Levensverwachting;Totaal;81,8;geen;20,0;geen
0873;Woensdrecht;Levensverwachting;Totaal;82,7;boven, 95% zeker;20,7;boven, 99% zeker
0632;Woerden;Levensverwachting;Totaal;82,9;boven, 99% zeker;20,7;boven, 99% zeker
0880;Wormerland;Levensverwachting;Totaal;83,8;boven, 99% zeker;21,2;boven, 99% zeker
0351;Woudenberg;Levensverwachting;Totaal;81,9;geen;20,6;geen
0479;Zaanstad;Levensverwachting;Totaal;81,5;onder, 95% zeker;19,7;onder, 99% zeker
0297;Zaltbommel;Levensverwachting;Totaal;82,3;geen;20,6;boven, 95% zeker
0473;Zandvoort;Levensverwachting;Totaal;79,1;onder, 99% zeker;19,1;onder, 99% zeker
0050;Zeewolde;Levensverwachting;Totaal;85,4;boven, 99% zeker;23,1;boven, 99% zeker
0355;Zeist;Levensverwachting;Totaal;81,2;onder, 95% zeker;19,5;onder, 99% zeker
0299;Zevenaar;Levensverwachting;Totaal;81,7;geen;20,2;geen
0637;Zoetermeer;Levensverwachting;Totaal;82,9;boven, 99% zeker;20,9;boven, 99% zeker
0638;Zoeterwoude;Levensverwachting;Totaal;81,9;geen;20,9;boven, 95% zeker
1892;Zuidplas;Levensverwachting;Totaal;83,6;boven, 99% zeker;21,4;boven, 99% zeker
0879;Zundert;Levensverwachting;Totaal;80,6;onder, 95% zeker;19,8;geen
0301;Zutphen;Levensverwachting;Totaal;81,1;onder, 95% zeker;19,7;geen
1896;Zwartewaterland;Levensverwachting;Totaal;82,5;geen;20,1;geen
0642;Zwijndrecht;Levensverwachting;Totaal;82,0;geen;20,3;geen
0193;Zwolle;Levensverwachting;Totaal;81,7;geen;20,0;geen
